Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
SchemaNamespaceSupport.makeGlobal( );2;1;6
SchemaRootContext.fillNamespaceContext( );10;10;28
SchemaNamespaceSupport.SchemaNamespaceSupport( SchemaNamespaceSupport nSupport );3;4;11
SchemaNamespaceSupport.getURI( String prefix );6;7;14
SchemaNamespaceSupport.SchemaNamespaceSupport( Element schemaRoot , SymbolTable symbolTable );5;6;9
SchemaRootContext.fillQName( QName toFill , Node node );6;6;10
***not in a method***;0;1;0
SchemaRootContext.declarePrefix( String prefix , String uri );2;4;9
SchemaNamespaceSupport.setEffectiveContext( String [ ] namespaceDecls );4;5;13
SchemaRootContext.SchemaRootContext( Element schemaRoot , SymbolTable symbolTable );1;0;4
SchemaRootContext.getURI( String prefix );3;4;8
SchemaNamespaceSupport.getEffectiveLocalContext( );3;3;13
