Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
XSDDescription.fromInstance( );4;7;6
XSDDescription.getTargetNamespace( );1;0;3
XSDDescription.getContextType( );1;0;3
***not in a method***;0;1;0
XSDDescription.getGrammarType( );1;0;3
XSDDescription.setLocationHints( String [ ] locationHints );1;0;5
XSDDescription.setTriggeringComponent( QName triggeringComponent );1;0;3
XSDDescription.makeClone( );1;0;14
XSDDescription.equals( Object descObj );3;3;8
XSDDescription.setTargetNamespace( String targetNamespace );1;0;3
XSDDescription.reset( );1;0;8
XSDDescription.getTriggeringComponent( );1;0;3
XSDDescription.setEnclosingElementName( QName enclosedElementName );1;0;3
XSDDescription.getAttributes( );1;0;3
XSDDescription.getEnclosingElementName( );1;0;3
XSDDescription.hashCode( );2;1;3
XSDDescription.setContextType( short contextType );1;0;3
XSDDescription.getLocationHints( );1;0;3
XSDDescription.setAttributes( XMLAttributes attributes );1;0;3
