Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
SchemaDOMParser.startDocument( XMLLocator locator , String encoding , NamespaceContext namespaceContext , Augmentations augs );1;3;14
SchemaDOMParser.processingInstruction( String target , XMLString data , Augmentations augs );2;2;5
BooleanStack.size( );1;0;3
SchemaDOMParser.parse( XMLInputSource inputSource );1;0;3
SchemaDOMParser.setProperty( String propertyId , Object value );1;0;3
SchemaDOMParser.startElement( QName element , XMLAttributes attributes , Augmentations augs );9;11;37
SchemaDOMParser.comment( XMLString text , Augmentations augs );2;2;5
***not in a method***;0;5;0
SchemaDOMParser.resetNodePool( );1;0;3
SchemaDOMParser.startCDATA( Augmentations augs );2;2;5
SchemaDOMParser.hasNonSchemaAttributes( QName element , XMLAttributes attributes );8;14;13
SchemaDOMParser.getFeature( String featureId );1;0;3
SchemaDOMParser.emptyElement( QName element , XMLAttributes attributes , Augmentations augs );14;24;42
SchemaDOMParser.setEntityResolver( XMLEntityResolver er );1;0;3
SchemaDOMParser.setFeature( String featureId , boolean state );1;0;3
SchemaDOMParser.endDocument( Augmentations augs );1;0;2
BooleanStack.pop( );1;1;3
BooleanStack.ensureCapacity( int size );3;3;10
BooleanStack.push( boolean value );1;2;4
BooleanStack.BooleanStack( );1;0;1
SchemaDOMParser.getProperty( String propertyId );1;0;3
SchemaDOMParser.characters( XMLString text , Augmentations augs );4;8;17
BooleanStack.clear( );1;0;3
SchemaDOMParser.endElement( QName element , Augmentations augs );10;17;32
SchemaDOMParser.reset( );1;0;3
SchemaDOMParser.SchemaDOMParser( XMLParserConfiguration config );1;0;6
SchemaDOMParser.getDocument( );1;0;3
SchemaDOMParser.ignorableWhitespace( XMLString text , Augmentations augs );2;2;5
SchemaDOMParser.endCDATA( Augmentations augs );2;2;5
