Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
DocumentBuilderFactory.setExpandEntityReferences( boolean expandEntityRef );1;0;3
DocumentBuilderFactory.isValidating( );1;0;3
DocumentBuilderFactory.newInstance( );2;0;10
DocumentBuilderFactory.isIgnoringElementContentWhitespace( );1;0;3
DocumentBuilderFactory.setXIncludeAware( final boolean state );1;0;9
DocumentBuilderFactory.isIgnoringComments( );1;0;3
DocumentBuilderFactory.getSchema( );1;0;9
DocumentBuilderFactory.setNamespaceAware( boolean awareness );1;0;3
DocumentBuilderFactory.setIgnoringComments( boolean ignoreComments );1;0;3
DocumentBuilderFactory.setIgnoringElementContentWhitespace( boolean whitespace );1;0;3
DocumentBuilderFactory.setCoalescing( boolean coalescing );1;0;3
DocumentBuilderFactory.isXIncludeAware( );1;0;9
DocumentBuilderFactory.setSchema( Schema schema );1;0;9
DocumentBuilderFactory.isExpandEntityReferences( );1;0;3
DocumentBuilderFactory.isCoalescing( );1;0;3
DocumentBuilderFactory.isNamespaceAware( );1;0;3
DocumentBuilderFactory.setValidating( boolean validating );1;0;3
DocumentBuilderFactory.newInstance( String factoryClassName , ClassLoader classLoader );4;2;14
DocumentBuilderFactory.DocumentBuilderFactory( );1;0;2
