Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
RepositoryView.run( );2;0;8
RepositoryView.inputChanged( Viewer viewer , Object old_input , Object new_input );1;0;2
RepositoryView.contributeToActionBars( );1;0;4
RepositoryView.showMessage( String message );1;0;6
RepositoryView.dragFinished( DragSourceEvent event );1;0;2
RepositoryView.getText( Object element );1;2;3
RepositoryView.dispose( );1;0;2
RepositoryView.setFocus( );1;0;2
RepositoryView.makeActions( );2;0;16
RepositoryView.getElements( Object element );1;0;3
RepositoryView.getParent( Object element );1;0;3
RepositoryView.hasChildren( Object element );1;1;3
RepositoryView.menuAboutToShow( IMenuManager manager );1;0;2
RepositoryView.dragStart( DragSourceEvent event );1;0;2
RepositoryView.selectionChanged( IWorkbenchPart part , ISelection selection );1;0;2
RepositoryView.dragSetData( DragSourceEvent event );1;0;6
RepositoryView.fillLocalToolBar( IToolBarManager manager );1;0;3
RepositoryView.getChildren( Object element );3;3;8
RepositoryView.createPartControl( Composite parent );5;4;66
RepositoryView.selectionChanged( SelectionChangedEvent event );2;0;7
RepositoryView.RepositoryView( );1;0;2
