Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
SiteXMLView.inputChanged( Viewer viewer , Object old_input , Object new_input );1;0;2
SiteXMLView.dropAccept( DropTargetEvent event );1;0;2
SiteXMLView.hasChildren( Object element );1;1;3
SiteXMLView.run( );2;2;11
SiteXMLView.drop( DropTargetEvent event );3;2;21
SiteXMLView.createPartControl( Composite parent );7;3;89
SiteXMLView.menuAboutToShow( IMenuManager manager );1;0;3
SiteXMLView.makeActions( );3;0;46
SiteXMLView.SiteXMLView( );1;0;2
SiteXMLView.hookContextMenu( );1;0;12
SiteXMLView.fillContextMenu( IMenuManager manager );1;0;6
SiteXMLView.dragLeave( DropTargetEvent event );1;0;2
SiteXMLView.dispose( );1;0;2
SiteXMLView.dragOver( DropTargetEvent event );1;0;2
SiteXMLView.dragOperationChanged( DropTargetEvent event );1;0;2
SiteXMLView.selectionChanged( SelectionChangedEvent event );2;0;10
SiteXMLView.getElements( Object element );1;0;3
SiteXMLView.getFilename( );1;1;3
SiteXMLView.getParent( Object element );1;0;3
SiteXMLView.getAdapter( Class adapter );2;0;6
SiteXMLView.getText( Object element );2;0;7
SiteXMLView.getChildren( Object element );3;3;8
SiteXMLView.dragEnter( DropTargetEvent event );1;0;2
SiteXMLView.getPropertySheet( );1;0;3
