Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
Project.Project( );1;0;3
Project.getUrl( );1;1;3
Project.loadSecurity( String user );1;0;4
Project.getLogUrl( );1;1;3
Project.getLogFile( );2;2;6
Project.exists( String project );3;0;9
Project.Project( ProjectDTO dto );1;0;3
Project.isBuildable( String user );5;1;13
Project.asDTO( );1;0;3
Project.getLastBuilt( );2;1;8
Project.loadData( );1;0;7
Project.isLogged( );1;0;3
Project.getAllProjects( );4;3;18
Project.getStatus( );7;7;31
Project.isDeployable( String user );1;0;3
