Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
XSLContract.getUsage( );1;0;3
XSLContract.XSLContract( boolean allowXmlProperties );1;0;3
XSLContract.setDescription( String description );1;0;3
XSLContract.setUsage( String usage );1;0;3
XSLContract.setAllowXmlProperties( boolean allowXmlProperties );1;0;3
XSLContract.isAllowXmlProperties( );1;0;3
XSLContract.getXslSource( );1;0;3
XSLContract.execute( InputStream dataStream , HashMap < String , ? > properties );8;4;42
XSLContract.setXslSource( Source xslSource );1;0;3
XSLContract.getName( );1;0;3
XSLContract.initializeFromStream( InputStream stream );2;0;8
XSLContract.getDescription( );1;0;3
XSLContract.setName( String name );1;0;3
