Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
AbstractSourceDocument.getReader( );1;0;3
AbstractSourceDocument.getType( );1;0;3
AbstractSourceDocument.setType( final String type );1;0;3
AbstractSourceDocument.AbstractSourceDocument( URI requestURI , String content );1;0;4
AbstractSourceDocument.setReader( final BufferedReader reader );1;0;3
AbstractSourceDocument.isComplete( );1;0;3
AbstractSourceDocument.setComplete( final boolean b );1;0;3
AbstractSourceDocument.addContent( final String newContent );1;1;3
AbstractSourceDocument.getContentAsString( );2;1;6
AbstractSourceDocument.AbstractSourceDocument( URI requestURI );1;0;3
AbstractSourceDocument.load( );2;2;14
