Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
HttpRequestService.getAuthType( );1;0;3
HttpRequestService.getMethod( );1;0;3
HttpRequestService.getSession( boolean create );1;0;3
HttpRequestService.getUserPrincipal( );1;0;3
HttpRequestService.isRequestedSessionIdFromCookie( );1;0;3
HttpRequestService.getRemoteUser( );1;0;3
Wrapper.getRequest( );1;0;3
HttpRequestService.getRequestedSessionId( );1;0;3
HttpRequestService.getHttpServletRequest( );2;1;6
HttpRequestService.getDateHeader( java . lang . String name );1;0;3
HttpRequestService.getContextPath( );1;0;3
HttpRequestService.isRequestedSessionIdValid( );1;0;3
HttpRequestService.getHeaderNames( );1;0;3
HttpRequestService.getSession( );1;0;3
HttpRequestService.getRequestURL( );1;0;3
HttpRequestService.getHeaders( java . lang . String name );1;0;3
HttpRequestService.getRequestURI( );1;0;3
HttpRequestService.getHeader( java . lang . String name );1;0;3
HttpRequestService.getHttpRequestWrapper( );1;0;3
HttpRequestService.isUserInRole( java . lang . String role );1;0;3
HttpRequestService.getPathTranslated( );1;0;3
HttpRequestService.getIntHeader( java . lang . String name );1;0;3
HttpRequestService.getPathInfo( );1;0;3
Wrapper.Wrapper( HttpRequestService requestService );1;0;4
HttpRequestService.getQueryString( );1;0;3
HttpRequestService.HttpRequestService( ServletBeanContext beanContext );1;0;3
HttpRequestService.isRequestedSessionIdFromURL( );1;0;3
HttpRequestService.getCookies( );1;0;3
HttpRequestService.getServletPath( );1;0;3
HttpRequestService.isRequestedSessionIdFromUrl( );1;0;3
