Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ForwardGrammar.ForwardGrammar( CoreAnnotationProcessorEnv env , Diagnostics diags , String requiredRuntimeVersion , RuntimeVersionChecker runtimeVersionChecker , FlowControllerInfo fcInfo );1;0;15
ForwardNameType.getErrorMessageExtraInfo( );1;0;3
ForwardNameType.ForwardNameType( );1;0;3
ForwardNameType.getAdditionalAnnotationsToCheck( MemberDeclaration classMember );2;0;14
ForwardGrammar.onCheckMember( AnnotationTypeElementDeclaration memberDecl , AnnotationValue value , AnnotationInstance annotation , AnnotationInstance [ ] parentAnnotations , MemberDeclaration classMember );11;8;33
ForwardGrammar.getRequiredAttrs( );1;0;3
ForwardGrammar.getAttrDependencies( );1;0;3
ForwardGrammar.getNameType( );1;0;3
ForwardGrammar.getMutuallyExclusiveAttrs( );1;0;3
ForwardNameType.addAdditionalAnnotationsToCheck( Collection catches , TypeDeclaration outerType , List additionalEntities );8;6;30
ForwardNameType.allowExactDuplicates( );1;0;3
ForwardNameType.ForwardNameType( String memberGroupName );1;0;3
