Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ExceptionModel.getHandlerClass( );1;0;3
ExceptionModel.getType( );1;0;3
ExceptionModel.addSetProperty( XmlModelWriter xw , Element element , String propertyName , String propertyValue );1;0;3
ExceptionModel.setMessageKey( String messageKey );1;0;3
ExceptionModel.ExceptionModel( StrutsApp parentApp );1;0;3
ExceptionModel.getMessage( );1;0;3
ExceptionModel.getHandlerMethod( );1;0;3
ExceptionModel.writeToElement( XmlModelWriter xw , Element element );7;7;28
ExceptionModel.setReadonly( boolean readonly );1;0;3
ExceptionModel.setHandlerClass( String handlerClass );1;0;3
ExceptionModel.setPath( String path );1;0;3
ExceptionModel.isReadonly( );1;0;3
ExceptionModel.getMessageKey( );1;0;3
ExceptionModel.getPath( );1;0;3
ExceptionModel.setHandlerMethod( String handlerMethod );1;0;3
ExceptionModel.setType( String type );1;0;3
ExceptionModel.ExceptionModel( String type , String path , String handlerMethod , String message , String messageKey , StrutsApp parentApp );1;0;8
ExceptionModel.setMessage( String message );1;0;3
