Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
PageFlowRequestWrapper.setMultipartRequestWrapper( MultipartRequestWrapper multipartRequestWrapper );1;0;3
PageFlowRequestWrapper.setReturningFromActionIntercept( boolean returningFromActionIntercept );1;0;3
PageFlowRequestWrapper.getPreviousPageInfo( boolean remove );2;0;5
PageFlowRequestWrapper.setProcessPopulateAlreadyCalled( boolean processPopulateAlreadyCalled );1;0;3
PageFlowRequestWrapper.isForwardedRequest( );1;1;3
PageFlowRequestWrapper.isReturningFromNesting( );1;0;3
PageFlowRequestWrapper.setExceptionBeingHandled( Throwable th );1;0;3
PageFlowRequestWrapper.setViewRenderer( ViewRenderer viewRenderer );1;0;3
PageFlowRequestWrapper.setOriginalServletPath( String originalServletPath );1;0;3
PageFlowRequestWrapper.PageFlowRequestWrapper( HttpServletRequest delegate );1;0;3
PageFlowRequestWrapper.isStayInCurrentModule( );1;0;3
PageFlowRequestWrapper.setReturningFromNesting( boolean returningFromNesting );1;0;3
PageFlowRequestWrapper.setPageFlowScopedFormName( String pageFlowScopedFormName );1;0;3
PageFlowRequestWrapper.getCharacterEncoding( );2;1;4
PageFlowRequestWrapper.getViewRenderer( );1;0;3
PageFlowRequestWrapper.getOriginalServletPath( );1;0;3
PageFlowRequestWrapper.setScopedLookup( boolean scopedLookup );1;0;3
PageFlowRequestWrapper.unwrap( ServletRequest servletRequest );3;2;9
PageFlowRequestWrapper.getMultipartRequestWrapper( );1;0;3
PageFlowRequestWrapper.isForwardedByButton( );1;0;3
PageFlowRequestWrapper.wrapRequest( HttpServletRequest req );4;0;18
PageFlowRequestWrapper.setForwardedByButton( boolean forwardedByButton );1;0;3
PageFlowRequestWrapper.isReturningFromActionIntercept( );1;0;3
PageFlowRequestWrapper.initFrom( PageFlowRequestWrapper wrapper );1;0;3
PageFlowRequestWrapper.get( ServletRequest servletRequest );1;0;5
PageFlowRequestWrapper.getHttpRequest( );1;0;3
PageFlowRequestWrapper.getPageFlowScopedFormName( );1;0;3
PageFlowRequestWrapper.setStayInCurrentModule( boolean stayInCurrentModule );1;0;3
PageFlowRequestWrapper.isProcessPopulateAlreadyCalled( );1;0;3
PageFlowRequestWrapper.isScopedLookup( );1;0;3
PageFlowRequestWrapper.setPreviousPageInfo( PreviousPageInfo previousPageInfo );1;0;3
PageFlowRequestWrapper.setForwardedRequestCount( int count );1;0;3
PageFlowRequestWrapper.getExceptionBeingHandled( );1;0;3
PageFlowRequestWrapper.setCurrentFlowController( FlowController currentFlowController );1;0;3
PageFlowRequestWrapper.getForwardedRequestCount( );2;1;3
PageFlowRequestWrapper.getCurrentFlowController( );1;0;3
