Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ScopedSession.getValueNames( );1;0;3
ScopedSession.getLastAccessedTime( );1;0;3
ScopedSession.invalidate( );1;0;3
ScopedSession.isNew( );1;0;3
ScopedSession.getOuterSession( );1;0;3
ScopedSession.getId( );1;0;3
ScopedSession.ScopedSession( HttpSession session , ServletContext cxt , Object scopeKey );1;0;5
ScopedSession.putValue( String s , Object o );1;0;3
ScopedSession.getCreationTime( );1;0;3
ScopedSession.getValue( String s );1;0;3
ScopedSession.getSessionContext( );1;0;3
ScopedSession.getMaxInactiveInterval( );1;0;3
ScopedSession.setMaxInactiveInterval( int i );1;0;3
ScopedSession.setSession( HttpSession session , ServletContext cxt );1;0;4
ScopedSession.removeValue( String s );1;0;3
ScopedSession.ScopedSession( );1;0;3
ScopedSession.getServletContext( );1;0;3
