Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ImageBehavior.setWidth( String width );1;0;3
ImageBehavior.renderEnd( Appender appender );1;0;4
ImageBehavior.getTagName( );1;0;3
ImageBehavior.setLongdesc( String longdesc );1;0;3
ImageBehavior.setVspace( String vspace );1;0;3
ImageBehavior.addParameter( String name , Object value , String facet );2;2;7
ImageBehavior.setIsmap( String ismap );1;0;3
ImageBehavior.renderStart( Appender appender );6;3;25
ImageBehavior.setHspace( String hspace );1;0;3
ImageBehavior.setAlt( String alt );1;0;3
ImageBehavior.setAlign( String align );1;0;3
ImageBehavior.getState( );1;0;3
ImageBehavior.setUsemap( String usemap );1;0;3
ImageBehavior.setAttribute( String name , String value , String facet );3;2;7
ImageBehavior.setBorder( String border );1;0;3
ImageBehavior.setLocation( String location );1;0;3
ImageBehavior.setHeight( String height );1;0;3
ImageBehavior.setSrc( String src );1;0;3
