Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
Behavior.reportErrors( Appender appender );2;2;13
Behavior.getIdForTagId( String tagId );2;1;7
Behavior.applyNamingChain( String name );4;4;24
Behavior.rewriteName( String name );1;1;4
Behavior.preRender( );1;0;2
Behavior.start( );1;0;5
Behavior.getErrorHandling( );2;1;6
Behavior.hasErrors( );1;1;3
Behavior.terminate( );1;2;8
Behavior.postRender( );1;0;2
Behavior.getNamingChain( );1;0;3
Behavior.registerTagError( AbstractPageError error );1;0;7
Behavior.registerTagError( String message , Throwable e );1;0;7
