Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
DefaultFilterData.getNewResponse( );1;0;3
DefaultFilterData.processResponse( );6;1;22
DefaultFilterData.setRecordingSession( RecordSession recordSession );1;0;3
DefaultFilterData.addTestException( Throwable e );1;0;3
DefaultFilterData.getReqURI( );1;0;3
DefaultFilterData.processRequest( );2;0;12
DefaultFilterData.getRespData( );1;0;3
DefaultFilterData.DefaultFilterData( ServletRequest request , ServletResponse response , ServerAdapter serverAdapter );1;0;7
DefaultFilterData.testForTestId( ServletRequest request );1;0;3
DefaultFilterData.getTestException( );2;1;6
DefaultFilterData.setRespData( boolean replaceSessionId );3;2;7
DefaultFilterData.testSkipFilter( ServletRequest request );5;3;16
DefaultFilterData.isPlayback( );2;1;6
DefaultFilterData.getSessionExceptionCount( );1;0;3
DefaultFilterData.testNewRequest( ServletRequest request );2;1;10
DefaultFilterData.throwTestException( );6;1;22
DefaultFilterData.setPlaybackSession( PlaybackSession playbackSession );1;0;3
DefaultFilterData.isNewRecording( );3;1;6
DefaultFilterData.setNewResponse( ServletResponse newResponse );1;0;3
DefaultFilterData.getSessionException( int i );1;0;3
DefaultFilterData.getResponse( );1;0;3
DefaultFilterData.getPlaybackSession( );1;0;3
DefaultFilterData.isNewRequest( );1;0;3
DefaultFilterData.getRecordingSession( );1;0;3
DefaultFilterData.getTestExceptionCount( );1;0;3
DefaultFilterData.getServerAdapter( );1;0;3
DefaultFilterData.init( );1;0;4
DefaultFilterData.toString( );1;0;14
DefaultFilterData.getTestId( );1;0;3
DefaultFilterData.isRecording( );2;1;6
DefaultFilterData.getTestException( int i );1;0;3
DefaultFilterData.clearRecording( );1;0;3
DefaultFilterData.markTestException( );1;0;4
DefaultFilterData.testForTestException( );5;2;16
DefaultFilterData.getReqData( );1;0;3
DefaultFilterData.addSessionException( Throwable e );1;0;3
DefaultFilterData.isSkipFilter( );1;0;3
DefaultFilterData.getOriginalResponse( );8;5;23
DefaultFilterData.getRequest( );1;0;3
DefaultFilterData.isTestException( );1;0;3
DefaultFilterData.getOriginalRequest( );3;1;12
