Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
CatalogParser.fatalError( SAXParseException exception );1;0;4
CatalogParser.error( SAXParseException exception );1;0;4
CatalogParser.getInstance( );1;0;3
CatalogParser.parseCommand( Element element );3;4;20
CatalogParser.parseCatalog( Element catalogElement );10;10;35
CatalogParser.parse( Element catalogElement );1;0;3
CatalogParser.CatalogParser( );1;0;2
CatalogParser.resolveEntity( String publicId , String systemId );2;0;7
CatalogParser.parse( final String resourcePath , final InputStream inputStream );7;1;55
CatalogParser.warning( SAXParseException exception );1;0;4
