Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
RemoteCacheNoWait.getCacheName( );1;0;3
RemoteCacheNoWait.remove( Serializable key );2;0;13
RemoteCacheNoWait.update( ICacheElement ce );2;0;12
RemoteCacheNoWait.getRemoteCache( );1;0;3
RemoteCacheNoWait.RemoteCacheNoWait( RemoteCache cache );2;1;11
RemoteCacheNoWait.getGroupKeys( String groupName );1;0;3
***not in a method***;0;1;0
RemoteCacheNoWait.fixCache( IRemoteCacheService remote );1;0;5
RemoteCacheNoWait.getSize( );1;0;3
RemoteCacheNoWait.resetEventQ( );2;0;10
RemoteCacheNoWait.getStats( );1;0;3
RemoteCacheNoWait.removeAll( );2;0;12
RemoteCacheNoWait.dispose( );2;0;11
RemoteCacheNoWait.getStatistics( );1;0;16
RemoteCacheNoWait.getCacheType( );1;0;3
RemoteCacheNoWait.toString( );1;0;3
RemoteCacheNoWait.get( Serializable key );4;0;25
RemoteCacheNoWait.getStatus( );2;0;3
