Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
RemoteCacheServerAttributes.getRemoteHost( );1;0;3
RemoteCacheServerAttributes.getRemoteTypeName( );3;2;11
***not in a method***;0;1;0
RemoteCacheServerAttributes.setRemoteType( int p );1;0;3
RemoteCacheServerAttributes.getLocalClusterConsistency( );1;0;3
RemoteCacheServerAttributes.getRemoteType( );1;0;3
RemoteCacheServerAttributes.setGetOnly( boolean r );1;0;3
RemoteCacheServerAttributes.getServicePort( );1;0;3
RemoteCacheServerAttributes.setAllowClusterGet( boolean r );1;0;3
RemoteCacheServerAttributes.getRemoteServiceName( );1;0;3
RemoteCacheServerAttributes.RemoteCacheServerAttributes( );1;0;3
RemoteCacheServerAttributes.setConfigFileName( String s );1;0;3
RemoteCacheServerAttributes.toString( );1;0;9
RemoteCacheServerAttributes.getGetOnly( );1;0;3
RemoteCacheServerAttributes.setRemotePort( int p );1;0;3
RemoteCacheServerAttributes.getRemotePort( );1;0;3
RemoteCacheServerAttributes.setRemoteHost( String s );1;0;3
RemoteCacheServerAttributes.setServicePort( int p );1;0;3
RemoteCacheServerAttributes.getRemoveUponRemotePut( );1;0;3
RemoteCacheServerAttributes.setClusterServers( String s );1;0;3
RemoteCacheServerAttributes.copy( );2;0;10
RemoteCacheServerAttributes.getConfigFileName( );1;0;3
RemoteCacheServerAttributes.getClusterServers( );1;0;3
RemoteCacheServerAttributes.getAllowClusterGet( );1;0;3
RemoteCacheServerAttributes.setRemoteServiceName( String s );1;0;3
RemoteCacheServerAttributes.setRemoteTypeName( String s );3;0;10
RemoteCacheServerAttributes.setRemoveUponRemotePut( boolean r );1;0;3
RemoteCacheServerAttributes.setLocalClusterConsistency( boolean r );1;0;3
