Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
RemoteCacheNoWait.remove( Serializable key );2;1;14
RemoteCacheNoWait.getRemoteCache( );1;0;3
***not in a method***;0;1;0
RemoteCacheNoWait.fixCache( IRemoteCacheService remote );1;0;5
RemoteCacheNoWait.getSize( );1;0;3
RemoteCacheNoWait.getMatching( String pattern );6;1;30
RemoteCacheNoWait.RemoteCacheNoWait( IRemoteCacheClient cache );2;1;11
RemoteCacheNoWait.getEventLoggingExtraInfo( );1;0;3
RemoteCacheNoWait.removeAll( );2;0;12
RemoteCacheNoWait.dispose( );2;0;11
RemoteCacheNoWait.getAuxiliaryCacheAttributes( );1;0;3
RemoteCacheNoWait.getGroupKeys( String groupName );1;0;3
RemoteCacheNoWait.update( ICacheElement element );2;1;13
RemoteCacheNoWait.getCacheEventQueue( );1;0;3
RemoteCacheNoWait.getStatistics( );5;4;60
RemoteCacheNoWait.getMultiple( Set keys );6;1;30
RemoteCacheNoWait.getStats( );1;0;3
RemoteCacheNoWait.resetEventQ( );3;0;15
RemoteCacheNoWait.getCacheName( );1;0;3
RemoteCacheNoWait.getCacheType( );1;0;3
RemoteCacheNoWait.toString( );1;1;3
RemoteCacheNoWait.get( Serializable key );6;1;30
RemoteCacheNoWait.getStatus( );2;0;3
