Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
LocationImpl.stackWalker( );1;0;4
MetadataShim.MetadataShim( StackFrame stackFrame );1;0;3
MetadataShim.getFileName( );1;0;3
LocationImpl.getSourceFile( );1;0;3
SerializableShim.SerializableShim( StackTraceElement ste );1;0;3
SerializableShim.getClassName( );1;0;3
MetadataShim.getMethodName( );1;0;3
MetadataShim.getClassName( );1;0;3
LocationImpl.getStackFrame( boolean isInline );2;0;11
LocationImpl.stackWalk( Function < Stream < StackFrame > , T > function );1;0;3
SerializableShim.getMethodName( );1;0;3
LocationImpl.noStackTraceFailureMessage( );2;0;12
LocationImpl.usingDefaultStackTraceCleaner( );1;0;3
LocationImpl.LocationImpl( boolean isInline );1;0;3
LocationImpl.toString( );1;0;3
MetadataShim.getLineNumber( );1;0;3
SerializableShim.getFileName( );1;0;3
MetadataShim.toString( );1;0;3
LocationImpl.framesToSkip( );1;0;10
MetadataShim.writeReplace( );1;0;3
LocationImpl.stackTraceLine( );3;3;10
SerializableShim.getLineNumber( );1;0;3
