Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
AbstractBeanFactoryBasedTargetSource.copyFrom( AbstractBeanFactoryBasedTargetSource other );1;0;5
AbstractBeanFactoryBasedTargetSource.getTargetClass( );7;5;21
AbstractBeanFactoryBasedTargetSource.getTargetBeanName( );1;0;3
AbstractBeanFactoryBasedTargetSource.getBeanFactory( );1;0;3
AbstractBeanFactoryBasedTargetSource.toString( );2;1;8
AbstractBeanFactoryBasedTargetSource.equals( Object other );5;5;11
AbstractBeanFactoryBasedTargetSource.releaseTarget( Object target );1;0;2
AbstractBeanFactoryBasedTargetSource.isStatic( );1;0;3
AbstractBeanFactoryBasedTargetSource.hashCode( );1;4;6
AbstractBeanFactoryBasedTargetSource.setTargetClass( Class < ? > targetClass );1;0;3
AbstractBeanFactoryBasedTargetSource.setTargetBeanName( String targetBeanName );1;0;3
***not in a method***;0;1;0
AbstractBeanFactoryBasedTargetSource.setBeanFactory( BeanFactory beanFactory );2;1;6
