Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
BeanDefinitionDefaults.setLazyInit( boolean lazyInit );1;0;3
BeanDefinitionDefaults.isLazyInit( );2;2;3
BeanDefinitionDefaults.getDestroyMethodName( );1;0;3
BeanDefinitionDefaults.setAutowireMode( int autowireMode );1;0;3
BeanDefinitionDefaults.setInitMethodName( @ Nullable String initMethodName );2;0;3
BeanDefinitionDefaults.getDependencyCheck( );1;0;3
BeanDefinitionDefaults.getLazyInit( );1;0;3
BeanDefinitionDefaults.getAutowireMode( );1;0;3
BeanDefinitionDefaults.setDependencyCheck( int dependencyCheck );1;0;3
BeanDefinitionDefaults.getInitMethodName( );1;0;3
BeanDefinitionDefaults.setDestroyMethodName( @ Nullable String destroyMethodName );2;0;3
