Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ManagedMetric.getPersistPolicy( );1;0;3
ManagedMetric.getMetricType( );1;0;3
ManagedMetric.setPersistPolicy( @ Nullable String persistPolicy );1;0;3
ManagedMetric.setUnit( @ Nullable String unit );1;0;3
ManagedMetric.getPersistPeriod( );1;0;3
ManagedMetric.setPersistPeriod( int persistPeriod );1;0;3
ManagedMetric.getCategory( );1;0;3
ManagedMetric.setCategory( @ Nullable String category );1;0;3
ManagedMetric.getDisplayName( );1;0;3
***not in a method***;0;1;0
ManagedMetric.setMetricType( MetricType metricType );1;0;4
ManagedMetric.getUnit( );1;0;3
ManagedMetric.setDisplayName( @ Nullable String displayName );1;0;3
