Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ManagedResource.setLogFile( @ Nullable String logFile );1;0;3
ManagedResource.setPersistPeriod( int persistPeriod );1;0;3
ManagedResource.setPersistLocation( @ Nullable String persistLocation );1;0;3
ManagedResource.setPersistPolicy( @ Nullable String persistPolicy );1;0;3
ManagedResource.setObjectName( @ Nullable String objectName );1;0;3
ManagedResource.setPersistName( @ Nullable String persistName );1;0;3
ManagedResource.setLog( boolean log );1;0;3
ManagedResource.getPersistPeriod( );1;0;3
ManagedResource.getPersistName( );1;0;3
ManagedResource.getPersistPolicy( );1;0;3
ManagedResource.getObjectName( );1;0;3
***not in a method***;0;1;0
ManagedResource.getPersistLocation( );1;0;3
ManagedResource.getLogFile( );1;0;3
ManagedResource.isLog( );1;0;3
