Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ForkJoinPoolFactoryBean.isSingleton( );1;0;3
ForkJoinPoolFactoryBean.setParallelism( int parallelism );1;0;3
ForkJoinPoolFactoryBean.setThreadFactory( ForkJoinPool . ForkJoinWorkerThreadFactory threadFactory );1;0;3
ForkJoinPoolFactoryBean.afterPropertiesSet( );2;0;4
ForkJoinPoolFactoryBean.getObject( );1;0;3
ForkJoinPoolFactoryBean.setCommonPool( boolean commonPool );1;0;3
ForkJoinPoolFactoryBean.setUncaughtExceptionHandler( Thread . UncaughtExceptionHandler uncaughtExceptionHandler );1;0;3
ForkJoinPoolFactoryBean.setAwaitTerminationSeconds( int awaitTerminationSeconds );1;0;3
ForkJoinPoolFactoryBean.getObjectType( );1;0;3
ForkJoinPoolFactoryBean.destroy( );4;2;13
ForkJoinPoolFactoryBean.setAsyncMode( boolean asyncMode );1;0;3
