Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ByteVector.put112( final int byteValue1 , final int byteValue2 , final int shortValue );2;7;13
ByteVector.put122( final int byteValue , final int shortValue1 , final int shortValue2 );2;9;14
ByteVector.size( );1;0;3
ByteVector.encodeUtf8( final String stringValue , final int offset , final int maxByteLength );12;44;41
ByteVector.putByteArray( final byte [ ] byteArrayValue , final int byteOffset , final int byteLength );3;4;10
ByteVector.put11( final int byteValue1 , final int byteValue2 );2;4;11
ByteVector.putByte( final int byteValue );2;3;9
ByteVector.putLong( final long longValue );2;17;19
ByteVector.ByteVector( final byte [ ] data );1;0;4
ByteVector.ByteVector( );1;0;3
ByteVector.putShort( final int shortValue );2;5;11
ByteVector.put12( final int byteValue , final int shortValue );2;6;12
ByteVector.ByteVector( final int initialCapacity );1;0;3
ByteVector.putUTF8( final String stringValue );6;14;24
ByteVector.putInt( final int intValue );2;9;13
ByteVector.enlarge( final int size );3;4;10
