Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
VfsResource.isReadable( );1;0;3
VfsResource.getDescription( );1;0;3
VfsResource.getFilename( );1;0;3
VfsResource.contentLength( );1;0;3
VfsResource.getFile( );1;0;3
VfsResource.hashCode( );1;0;3
VfsResource.equals( @ Nullable Object other );3;3;4
VfsResource.createRelative( String relativePath );4;2;10
VfsResource.getURL( );2;0;8
VfsResource.lastModified( );1;0;3
VfsResource.VfsResource( Object resource );1;0;4
VfsResource.getInputStream( );1;0;3
VfsResource.exists( );1;0;3
VfsResource.getURI( );2;0;8
