Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
StopWatch.getLastTaskTimeNanos( );2;1;6
StopWatch.shortSummary( );1;0;3
StopWatch.StopWatch( String id );1;0;3
StopWatch.StopWatch( );1;0;3
TaskInfo.getTaskName( );1;0;3
StopWatch.getTotalTimeMillis( );1;0;3
StopWatch.getLastTaskInfo( );2;1;6
StopWatch.isRunning( );1;1;3
StopWatch.start( String taskName );2;1;7
TaskInfo.getTimeNanos( );1;0;3
TaskInfo.getTimeMillis( );1;0;3
StopWatch.getLastTaskTimeMillis( );2;1;6
StopWatch.toString( );3;2;14
StopWatch.stop( );3;4;13
StopWatch.getLastTaskName( );2;1;6
StopWatch.prettyPrint( );3;2;24
TaskInfo.TaskInfo( String taskName , long timeNanos );1;0;4
TaskInfo.getTimeSeconds( );1;0;3
StopWatch.getId( );1;0;3
StopWatch.getTotalTimeSeconds( );1;0;3
StopWatch.getTotalTimeNanos( );1;0;3
StopWatch.currentTaskName( );1;0;3
StopWatch.nanosToSeconds( long duration );1;1;3
StopWatch.setKeepTaskList( boolean keepTaskList );1;0;3
StopWatch.nanosToMillis( long duration );1;0;3
StopWatch.getTaskInfo( );2;1;6
StopWatch.start( );1;0;3
StopWatch.getTaskCount( );1;0;3
