Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
AbstractServerHttpResponse.getCookies( );2;1;4
AbstractServerHttpResponse.getHeaders( );3;2;12
AbstractServerHttpResponse.doCommit( @ Nullable Supplier < ? extends Mono < Void > > writeAction );6;2;28
AbstractServerHttpResponse.touchDataBuffer( DataBuffer buffer );1;0;2
AbstractServerHttpResponse.setComplete( );2;1;3
AbstractServerHttpResponse.isCommitted( );2;3;4
AbstractServerHttpResponse.writeWith( Publisher < ? extends DataBuffer > body );5;1;32
AbstractServerHttpResponse.addCookie( ResponseCookie cookie );2;1;10
AbstractServerHttpResponse.setRawStatusCode( @ Nullable Integer statusCode );2;1;3
AbstractServerHttpResponse.writeAndFlushWith( Publisher < ? extends Publisher < ? extends DataBuffer > > body );1;0;4
AbstractServerHttpResponse.getStatusCode( );1;0;3
AbstractServerHttpResponse.AbstractServerHttpResponse( DataBufferFactory dataBufferFactory , HttpHeaders headers );1;0;7
AbstractServerHttpResponse.doCommit( );1;0;3
AbstractServerHttpResponse.AbstractServerHttpResponse( DataBufferFactory dataBufferFactory );1;0;3
AbstractServerHttpResponse.bufferFactory( );1;0;3
AbstractServerHttpResponse.beforeCommit( Supplier < ? extends Mono < Void > > action );1;0;3
AbstractServerHttpResponse.getRawStatusCode( );2;1;3
AbstractServerHttpResponse.setStatusCode( @ Nullable HttpStatusCode status );2;1;9
