Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
RequestHandledEvent.wasFailure( );1;1;3
RequestHandledEvent.getShortDescription( );1;0;6
RequestHandledEvent.getDescription( );2;1;15
RequestHandledEvent.getProcessingTimeMillis( );1;0;3
RequestHandledEvent.getSessionId( );1;0;3
RequestHandledEvent.toString( );1;0;3
RequestHandledEvent.RequestHandledEvent( Object source , @ Nullable String sessionId , @ Nullable String userName , long processingTimeMillis , @ Nullable Throwable failureCause );1;0;4
RequestHandledEvent.getUserName( );1;0;3
RequestHandledEvent.getFailureCause( );1;0;3
RequestHandledEvent.RequestHandledEvent( Object source , @ Nullable String sessionId , @ Nullable String userName , long processingTimeMillis );1;0;6
