Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
RequestMethodsRequestCondition.combine( RequestMethodsRequestCondition other );5;1;14
RequestMethodsRequestCondition.matchPreFlight( ServerHttpRequest request );3;1;7
RequestMethodsRequestCondition.getMatchingCondition( ServerWebExchange exchange );4;0;12
RequestMethodsRequestCondition.RequestMethodsRequestCondition( RequestMethod ... requestMethods );2;0;4
RequestMethodsRequestCondition.getMethods( );1;0;3
RequestMethodsRequestCondition.getToStringInfix( );1;0;3
RequestMethodsRequestCondition.RequestMethodsRequestCondition( Set < RequestMethod > requestMethods );1;0;3
RequestMethodsRequestCondition.getContent( );1;0;3
RequestMethodsRequestCondition.matchRequestMethod( @ Nullable HttpMethod httpMethod );5;2;13
RequestMethodsRequestCondition.compareTo( RequestMethodsRequestCondition other , ServerWebExchange exchange );7;6;14
