Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
WebSocketSessionDecorator.getUri( );1;0;3
WebSocketSessionDecorator.getPrincipal( );1;0;3
WebSocketSessionDecorator.isOpen( );1;0;3
WebSocketSessionDecorator.getRemoteAddress( );1;0;3
WebSocketSessionDecorator.setBinaryMessageSizeLimit( int messageSizeLimit );1;0;3
WebSocketSessionDecorator.getLocalAddress( );1;0;3
WebSocketSessionDecorator.sendMessage( WebSocketMessage < ? > message );1;0;3
WebSocketSessionDecorator.getLastSession( );2;0;7
WebSocketSessionDecorator.getBinaryMessageSizeLimit( );1;0;3
WebSocketSessionDecorator.getExtensions( );1;0;3
WebSocketSessionDecorator.unwrap( WebSocketSession session );2;0;8
WebSocketSessionDecorator.getId( );1;0;3
WebSocketSessionDecorator.getTextMessageSizeLimit( );1;0;3
WebSocketSessionDecorator.getHandshakeHeaders( );1;0;3
WebSocketSessionDecorator.WebSocketSessionDecorator( WebSocketSession session );1;0;4
WebSocketSessionDecorator.toString( );1;1;3
WebSocketSessionDecorator.close( CloseStatus status );1;0;3
WebSocketSessionDecorator.setTextMessageSizeLimit( int messageSizeLimit );1;0;3
WebSocketSessionDecorator.getDelegate( );1;0;3
WebSocketSessionDecorator.close( );1;0;3
WebSocketSessionDecorator.getAcceptedProtocol( );1;0;3
WebSocketSessionDecorator.getAttributes( );1;0;3
