Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
EventBusMultithreadedTest.testPost40Threads( );1;0;3
EventBusMultithreadedTest.testPost01Thread( );1;0;3
EventBusMultithreadedTest.testPostMixedEventType01Thread( );1;0;3
EventBusMultithreadedTest.onEvent( Object event );1;0;4
EventBusMultithreadedTest.testPostMixedEventType40Threads( );1;0;3
EventBusMultithreadedTest.runThreadsMixedEventType( int count , int threadCount );1;11;26
EventBusMultithreadedTest.runThreadsMixedEventType( int threadCount );1;0;3
EventBusMultithreadedTest.triggerAndWaitForThreads( List < PosterThread > threads , CountDownLatch latch );3;2;11
EventBusMultithreadedTest.onEventMainThread( Integer event );1;0;5
EventBusMultithreadedTest.testPost04Threads( );1;0;3
EventBusMultithreadedTest.runThreadsSingleEventType( int threadCount );1;6;13
PosterThread.run( );3;2;11
PosterThread.PosterThread( CountDownLatch latch , int iterations , Object eventToPost );1;0;5
EventBusMultithreadedTest.onEventAsync( IntTestEvent event );1;0;5
EventBusMultithreadedTest.onEventBackgroundThread( String event );1;0;5
EventBusMultithreadedTest.testPostMixedEventType04Threads( );1;0;3
EventBusMultithreadedTest.startThreads( CountDownLatch latch , int threadCount , int iterations , Object eventToPost );2;2;9
