Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
UTF16Validator.fieldName( );9;10;37
UTF16Validator.UTF16Validator( String str );1;0;5
JSONValidator.getType( );2;1;6
JSONValidator.any( );81;75;204
ReaderValidator.close( );1;0;4
JSONValidator.isSupportMultiValue( );1;0;3
JSONValidator.fromUtf8( InputStream is );1;0;3
JSONValidator.fieldName( );5;3;24
JSONValidator.skipWhiteSpace( );2;0;5
UTF8InputStreamValidator.UTF8InputStreamValidator( InputStream is );2;2;11
ReaderValidator.ReaderValidator( Reader r );2;2;11
UTF8Validator.UTF8Validator( byte [ ] bytes );1;0;5
UTF8Validator.next( );2;2;9
JSONValidator.string( );5;4;25
***not in a method***;0;3;0
JSONValidator.from( Reader r );1;0;3
JSONValidator.isWhiteSpace( char ch );6;11;9
JSONValidator.validate( );7;3;29
ReaderValidator.next( );6;8;34
UTF8InputStreamValidator.close( );1;0;4
JSONValidator.setSupportMultiValue( boolean supportMultiValue );1;0;4
UTF8InputStreamValidator.next( );6;8;34
JSONValidator.from( String jsonStr );1;0;3
JSONValidator.fromUtf8( byte [ ] jsonBytes );1;0;3
JSONValidator.close( );1;0;2
UTF16Validator.next( );2;2;9
