Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
JSONWriter.writeStartObject( );1;0;3
JSONWriter.endStructure( );7;4;25
JSONWriter.writeValue( Object object );1;0;3
JSONWriter.writeEndObject( );1;0;3
JSONWriter.beforeWrite( );7;1;21
JSONWriter.writeObject( Object object );1;0;5
JSONWriter.writeObject( String object );1;0;5
JSONWriter.JSONWriter( Writer out );1;0;4
JSONWriter.writeEndArray( );1;0;3
JSONWriter.config( SerializerFeature feature , boolean state );1;0;3
JSONWriter.endObject( );1;0;4
JSONWriter.writeKey( String key );1;0;3
JSONWriter.startObject( );2;1;7
JSONWriter.afterWrite( );8;4;26
JSONWriter.endArray( );1;0;4
JSONWriter.writeStartArray( );1;0;3
JSONWriter.beginStructure( );5;0;17
JSONWriter.close( );1;0;3
JSONWriter.flush( );1;0;3
JSONWriter.startArray( );2;1;7
